time,value
2020-03-11 00:00:00,336412
2020-03-11 08:00:00,596980
2020-03-11 16:00:00,773300
2020-03-12 00:00:00,333102
2020-03-12 08:00:00,578793
2020-03-12 16:00:00,741852
2020-03-13 00:00:00,306095
2020-03-13 08:00:00,511415
2020-03-13 16:00:00,651640
2020-03-14 00:00:00,178060
2020-03-14 08:00:00,191267
2020-03-14 16:00:00,234081
2020-03-15 00:00:00,74955
2020-03-15 08:00:00,77315
2020-03-15 16:00:00,106746
2020-03-16 00:00:00,126412
2020-03-16 08:00:00,254936
2020-03-16 16:00:00,317034
2020-03-17 00:00:00,132538
2020-03-17 08:00:00,219881
2020-03-17 16:00:00,278631
2020-03-18 00:00:00,123214
2020-03-18 08:00:00,211873
2020-03-18 16:00:00,269500
2020-03-19 00:00:00,103616
2020-03-19 08:00:00,162988
2020-03-19 16:00:00,205359
2020-03-20 00:00:00,101596
2020-03-20 08:00:00,178753
2020-03-20 16:00:00,222749
2020-03-21 00:00:00,54586
2020-03-21 08:00:00,67850
2020-03-21 16:00:00,74369
2020-03-22 00:00:00,25810
2020-03-22 08:00:00,33396
2020-03-22 16:00:00,40938
2020-03-23 00:00:00,82668
2020-03-23 08:00:00,170037
2020-03-23 16:00:00,214597
2020-03-24 00:00:00,97432
2020-03-24 08:00:00,163341
2020-03-24 16:00:00,205452
2020-03-25 00:00:00,96202
2020-03-25 08:00:00,163633
2020-03-25 16:00:00,205294
2020-03-26 00:00:00,95080
2020-03-26 08:00:00,162606
2020-03-26 16:00:00,205988
2020-03-27 00:00:00,94772
2020-03-27 08:00:00,162347
2020-03-27 16:00:00,203613
2020-03-28 00:00:00,50325
2020-03-28 08:00:00,66734
2020-03-28 16:00:00,73912
2020-03-29 00:00:00,28696
2020-03-29 08:00:00,33248
2020-03-29 16:00:00,41294
2020-03-30 00:00:00,79018
2020-03-30 08:00:00,112463
2020-03-30 16:00:00,125584
